name,mass (g),fall,year,reclat,reclong,GeoLocation
Bluewater,9540.0,Found,1946.0,35.26667,-107.96667,"(35.26667, -107.96667)"
Bluff (a),153300.0,Found,1878.0,29.87861,-96.87222,"(29.87861, -96.87222)"
Bluff (b),16000.0,Found,1917.0,29.86306,-96.92667,"(29.86306, -96.92667)"
Boerne,1100.0,Found,1932.0,29.8,-98.8,"(29.8, -98.8)"
Bonita Springs,41800.0,Found,1938.0,26.26667,-81.75,"(26.26667, -81.75)"
Borrego,2126.0,Found,1930.0,33.26667,-116.38333,"(33.26667, -116.38333)"
Botetourt County,500.0,Found,1850.0,37.5,-79.75,"(37.5, -79.75)"
Bowesmont,2270.0,Found,1962.0,48.68333,-97.16667,"(48.68333, -97.16667)"
Brady,927.0,Found,1937.0,31.05,-99.46667,"(31.05, -99.46667)"
Brenham,4300000.0,Found,1882.0,37.5825,-99.16361,"(37.5825, -99.16361)"
Brewster,17000.0,Found,1940.0,39.25,-101.33333,"(39.25, -101.33333)"
Bridgewater,13600.0,Found,1890.0,35.71667,-81.86667,"(35.71667, -81.86667)"
Briggsdale,2230.0,Found,1949.0,40.66667,-104.31667,"(40.66667, -104.31667)"
Briscoe,1773.0,Found,1940.0,34.35,-101.4,"(34.35, -101.4)"
Bristol,20000.0,Found,1937.0,36.56667,-82.18333,"(36.56667, -82.18333)"
Broken Bow,6800.0,Found,1937.0,41.43333,-99.7,"(41.43333, -99.7)"
Brownfield (1937),40960.0,Found,1937.0,33.21667,-102.18333,"(33.21667, -102.18333)"
Brownfield (iron),1626.0,Found,1960.0,33.21667,-102.18333,"(33.21667, -102.18333)"
Bruno,13000.0,Found,1931.0,52.26667,-105.35,"(52.26667, -105.35)"
Burdett,8600.0,Found,1940.0,38.23333,-99.53333,"(38.23333, -99.53333)"
Burkett,8400.0,Found,1913.0,32.03333,-99.25,"(32.03333, -99.25)"
Burlington,68000.0,Found,1819.0,42.75,-75.18333,"(42.75, -75.18333)"
Bushnell,1240.0,Found,1939.0,41.23333,-103.9,"(41.23333, -103.9)"
Butler,41000.0,Found,1874.0,38.3,-94.36667,"(38.3, -94.36667)"
Cacaria,41400.0,Found,1867.0,24.5,-104.8,"(24.5, -104.8)"
