Meteorite ID,Meteorite Name,Latitude,Longitude,Country,Discovery Time,Year
Q9385403,Zabrodje,27.9167,55.1833,Belarus,,
Q9386889,Zaoyang,112.75,32.3,,,
Q9390870,Zhaodong,125.917,45.3167,,,
Q9390882,Zhongxiang,112.5,31.2,,,
Q9390900,Zhuanghe,122.983,39.6667,,,
Q11684837,Alaer 002,81.25,40.3333,,,
Q11685262,Alessandria,8.75,44.8833,,,
Q11685262,Alessandria,8.75,44.88333,,,
Q11699010,Fuhe,113.567,31.475,,,
Q11699110,Fuyang,115.8,32.9,,,
Q11702868,Guangyuan,105.9,32.4,,,
Q11708789,Hejing,86.3,42.4,,,
Q11712624,Inner Mongolia,112.0,41.0,,,
Q11714134,Ishinga,33.8,-8.93333,,,
Q11721087,Jarud Qi,120.933,44.6167,,,
Q11721088,Jartai,105.8,39.7,,,
Q11727160,Jianshi,109.5,30.8,,,
Q11727161,Jiange,104.917,31.9167,,,
Q11727162,Jiapigou,127.5,42.8333,,,
Q11728837,Juancheng,115.417,35.5,,,
Q11729407,Junan,118.8,35.2,,,
Q11733035,Kaalijärv,22.6667,58.4,,,
Q11739186,Kilabo,9.8,12.7667,,,
Q11751069,Kumtag,93.1667,41.6667,,,
Q11752839,Lanxi,126.183,46.2333,,,
Q11752843,Laochenzhen,115.167,33.1333,,,
Q11754799,Leshan,103.7,29.6,,,
Q11757845,Lishui,118.983,31.6333,,,
Q11762527,Longchang,105.3,29.3,,,
Q11762554,Longtian,108.5,27.35,,,
Q11762646,Lost City,-95.15,36.0167,United States of America,,
Q11764256,Lunan,103.3,24.8,,,
Q11778201,Mianchi,111.7,34.8,,,
Q11781345,Min-Fan-Zhun,120.667,32.3333,,,
Q11789235,Naiman,120.667,42.8333,,,
Q11789449,Nan Yang Pao,103.5,35.6667,,,
Q11789483,Nantong,121.8,32.1167,,,
Q11792317,Ningqiang,105.9,32.9167,,,
Q11815430,Pei Xian,117.0,34.7,,,
Q11819868,Po-wang Chen,118.5,31.4167,,,
Q11832829,Qidong,121.5,32.8333,,,
Q11832831,Qijiaojing,92.9167,43.75,,,
Q11832836,Qingzhen,106.467,26.5333,,,
Q11832912,Quija,126.133,44.6167,,,
Q11833779,Raoyang,115.817,38.3,,,
Q12062363,Acfer 004,3.81666667,27.58333333,,,
Q12062364,Acfer 011,4.16666667,27.75,,,
Q12062365,Acfer 007,3.65,27.51666667,,,
Q12062366,Acfer 020,4.06666667,27.7,,,
Q12062368,Acfer 073,3.85,27.53333333,,,
Q12062369,Acfer 091,4.11666667,27.45,,,
Q12062371,Acfer 124,4.05,27.6,,,
Q12062372,Acfer 166,4.23333333,27.51666667,,,
Q12062373,Acfer 177,3.85,27.48333333,,,
Q12062401,Al Huqf 002,57.38666667,19.27166667,,,
Q12062490,Arapahoe,-102.2,38.8,United States of America,,
Q12062776,Cherokee Springs,-81.88333,35.03333,,,
Q12062967,Dhofar 003,54.13666667,18.20166667,,,
Q12062971,Dhofar 188,54.14833333,18.21166667,,,
Q12062972,Dhofar 006,54.1078,18.131,,,
Q4440318,Pesyanoe,66.08333333,55.5,,1933-10-02T00:00:00Z,
Q4442370,Sterlitamak,55.9833,53.6667,,1990-05-17T00:00:00Z,
Q4457653,Timochin,35.2,54.5,,1807-03-25T00:00:00Z,
Q4532849,Estherville,-94.833333333,43.416666666,United States of America,,
Q4537600,Yamato 691,36.25,-71.8333,,1969-12-21T00:00:00Z,
Q4538523,Yardymly,48.25,38.9333,,1959-11-24T00:00:00Z,
Q4682525,Adhi Kot,71.8,32.1,,,
Q4686953,Adzhi-Bogdo,95.16666667,44.83333333,,1949-01-01T00:00:00Z,
Q4691978,Agen,0.61666667,44.21666667,,,
Q4700483,Akbarpur,77.95,29.71667,,,
Q4731221,Allegan,-85.8833,42.5333,United States of America,,
Q4741017,Ambapur Nagla,78.25,27.66666667,,,
Q4763139,Angers,-0.55,47.36666667,France,,
Q4763888,Angra dos Reis meteorite,-44.31666667,-22.96666667,,,
Q4766142,Anlong,105.18333333,25.15,,,
Q4767789,Annaheim meteorite,-104.85,52.4,Canada,1916-07-30T00:00:00Z,
Q4781441,Appley Bridge,-2.71667,53.58333,United Kingdom,,
Q4784741,Arbol Solo,-66.0,-33.0,,,
Q4808928,Assisi,12.55,43.03333333,,,
Q4817176,Atoka meteorite,19.0,34.0,,,
Q4827653,Avanhandava,-49.95083333,-21.46027778,Brazil,,
Q4876692,Beardsley,-101.2,39.8,,,
Q4890639,Benton meteorite,-67.55,45.95,Canada,,
Q4926933,Blithfield meteorite,-76.9658,45.5061,Canada,1910-08-13T00:00:00Z,
Q4950516,Bovedy,-6.33333,54.5667,United Kingdom,,
Q4953288,Brachina meteorite,138.383,-31.3,Australia,1974-05-26T00:00:00Z,
Q4984880,Claxton meteorite,-81.9,32.15,United States of America,1984-12-10T00:00:00Z,
Q4984880,Claxton meteorite,-81.8667,32.1,United States of America,1984-12-10T00:00:00Z,
Q5003569,Buzzard Coulee meteorite,-109.848,52.9961,Canada,2008-01-01T00:00:00Z,
Q5003569,Buzzard Coulee meteorite,-109.848,52.9961,Canada,2008-11-27T00:00:00Z,
Q5037689,Carancas meteorite,-69.04388889,-16.66444444,,,
Q5203167,D'Orbigny meteorite,-61.65,-37.66666667,,1979-01-01T00:00:00Z,
Q5325264,Eagle Station meteorite,-84.9667,38.6167,United States of America,1880-01-01T00:00:00Z,
Q5399225,Esquel (meteorite),-71.33333333,-42.9,Argentina,1951-01-01T00:00:00Z,
Q5507580,Fukang,87.63333333,44.43333333,,2000-01-01T00:00:00Z,
Q5529550,Gebel Kamil,26.08777778,22.01833333,,2009-01-01T00:00:00Z,
Q5596601,Grant meteorite,-107.833333333,35.15,United States of America,1929-01-01T00:00:00Z,
Q5641156,El Chaco,-61.681475,-27.60970556,Argentina,,
Q5971067,Park Forest,-87.6792,41.4847,United States of America,,
Q6004059,Imilac,-68.80861111,-24.21277778,,1822-01-01T00:00:00Z,
Q6680892,Loreto,-111.34333333,26.01277778,Mexico,1896-01-01T00:00:00Z,
Q6841881,Middlesbrough meteorite,-1.213,54.553,United Kingdom,,
Q6916610,Moss meteorite,10.7,59.43333333,,,
Q6937085,Muonionalusta,23.11333333,67.8,,1906-01-01T00:00:00Z,
Q7064495,Novato meteorite,-122.6,38.1,United States of America,2012-10-20T00:00:00Z,
Q7134640,Paragould meteorite,-90.52256944,35.99684444,United States of America,,
Q7157430,Peace River meteorite,-117.933,56.1333,Canada,,
Q7586657,St-Robert meteorite,-73.0,45.9667,Canada,,
Q7699844,Tenham meteorite,142.95,-25.7333,Australia,,
Q7810691,Tlacotepec meteorite,-97.55,18.65,Mexico,1903-01-01T00:00:00Z,
Q7921633,Vermillion meteorite,-96.3614,39.7364,United States of America,1991-01-01T00:00:00Z,
Q8025899,Winona meteorite,-111.4,35.2,United States of America,1928-01-01T00:00:00Z,
Q8064892,Zaisho,113.8,33.7,,,
Q9137988,Abajo,-105.417,26.8,,,
Q9138613,Abu Moharek,29.8333,27.2333,Egypt,,
Q9138739,Acapulco,-99.9,16.88333,Mexico,,
Q9143779,Akwanga,8.43333,8.91667,,,
Q9143992,Alaer 001,81.25,40.3333,,,
Q9144186,Alatage,93.0,42.3333,,,
Q9147934,Algarrobo,-70.5833,-27.0833,,,
Q9159916,Armanty,88.0,47.0,,,
Q9163047,Awere,32.8333,2.71667,,,
Q9179097,Braunau,16.3,50.6,Czech Republic,,
Q9179097,Braunau,16.321167222,50.592866944,Czech Republic,,
Q9184479,Caperr,-70.4833,-45.2833,Argentina,,
Q9188225,Cerro La Tiza,-75.7667,-14.5333,,,
Q9188599,Chadong,109.317,28.5333,,,
Q9188824,Changde,111.75,29.0833,,,
Q9188849,Changxing,121.667,31.3333,,,
Q9195349,Coleman,-84.5,43.75,United States of America,,
Q9202990,De Cewsville,-80.0,43.0,,,
Q9207469,Digor,89.3333,42.3333,,,
Q9207844,Gross-Divina,18.7167,49.2667,,,
Q9210024,Dong Ujimqin Qi,119.033,45.5,,,
Q9210030,Dongtai,120.783,32.9167,,,
Q9212693,Duan,108.1,23.9,,,
Q9252191,El Capitan,-105.5,33.5,United States of America,,
Q9254119,Enshi meteorite,109.5,30.3,,,
Q9258894,Fenghsien-Ku,116.75,34.6,,,
Q9258898,Fengzhen,113.0,40.5,,,
Q9264283,Fujian,119.0,26.0,,,
Q9264305,Fuling,107.4,29.7,,,
Q9282469,Guanghua,111.7,32.4,,,
Q9282470,Guangnan,105.0,24.1,,,
Q9282472,Guangmingshan,122.75,39.8,,,
Q9282474,Guangrao,118.4,37.1,,,
Q9282630,Guizhou,107.5,25.4,,,
Q9286965,Hechi,108.0,24.7,,,
Q9293235,Hoima,31.4667,1.33333,,,
Q9294184,Hotse,115.5,35.6667,,,
Q9294557,Huangling,110.0,29.5,,,
Q9294568,Huaxi,106.633,26.4667,,,
Q4039558,Gold Basin,-114.233,35.8833,,,
Q4039603,Goose Lake meteorite,-120.542,41.98,United States of America,1938-01-01T00:00:00Z,
Q4040725,Homestead,-91.8667,41.8,United States of America,,
Q4043551,Mackinac Island meteorite,,,,2009-01-01T00:00:00Z,
Q4043852,Mbale,34.1667,1.06667,,,
Q4044178,Mezö-Madaras meteorite,25.733333333,46.5,Romania,,
Q4045478,North Chile,-69.0,-23.0,,,
Q4045484,Norton County meteorite,-99.8667,39.6833,United States of America,,
Q4045484,Norton County meteorite,-99.866666666,39.683333333,United States of America,,
Q4045713,Old Woman meteorite,-115.227527777,34.580647222,United States of America,1975-01-01T00:00:00Z,
