name,mass (g),fall,year,reclat,reclong,GeoLocation
Dresden (Ontario),47700.0,Fell,1939.0,42.52,-82.26,"(42.52, -82.26)"
Dubrovnik,1900.0,Fell,1951.0,42.45833,18.44167,"(42.45833, 18.44167)"
Dundrum,2270.0,Fell,1865.0,52.55,-8.03333,"(52.55, -8.03333)"
Durala,13200.0,Fell,1815.0,30.3,76.63333,"(30.3, 76.63333)"
Duruma,577.0,Fell,1853.0,-4.0,39.5,"(-4.0, 39.5)"
Duwun,2117.0,Fell,1943.0,33.43333,127.26667,"(33.43333, 127.26667)"
Dyalpur,300.0,Fell,1872.0,26.25,82.0,"(26.25, 82.0)"
Dyarrl Island,188.0,Fell,1933.0,-3.0,151.0,"(-3.0, 151.0)"
Eagle,10000.0,Fell,1947.0,40.78167,-96.47167,"(40.78167, -96.47167)"
Ehole,2400.0,Fell,1961.0,-17.3,15.83333,"(-17.3, 15.83333)"
Eichstädt,3000.0,Fell,1785.0,48.9,11.21667,"(48.9, 11.21667)"
Ekeby,3336.0,Fell,1939.0,56.03333,13.0,"(56.03333, 13.0)"
Ekh Khera,840.0,Fell,1916.0,28.26667,78.78333,"(28.26667, 78.78333)"
Elenovka,54640.0,Fell,1951.0,47.83333,37.66667,"(47.83333, 37.66667)"
Ellemeet,1470.0,Fell,1925.0,51.75,4.0,"(51.75, 4.0)"
Emmaville,127.0,Fell,1900.0,-29.46667,151.61667,"(-29.46667, 151.61667)"
Épinal,277.0,Fell,1822.0,48.18333,6.46667,"(48.18333, 6.46667)"
Erakot,113.0,Fell,1940.0,19.03333,81.89167,"(19.03333, 81.89167)"
Erevan,107.2,Fell,1911.0,40.3,44.5,"(40.3, 44.5)"
Ergheo,20000.0,Fell,1889.0,1.16667,44.16667,"(1.16667, 44.16667)"
Erxleben,2250.0,Fell,1812.0,52.21667,11.25,"(52.21667, 11.25)"
Esnandes,1500.0,Fell,1837.0,46.25,-1.1,"(46.25, -1.1)"
Essebi,500.0,Fell,1957.0,2.88333,30.83333,"(2.88333, 30.83333)"
Estherville,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.41667, -94.83333)"
Farmington,89400.0,Fell,1890.0,39.75,-97.03333,"(39.75, -97.03333)"
Farmville,56000.0,Fell,1934.0,35.55,-77.53333,"(35.55, -77.53333)"
Favars,1500.0,Fell,1844.0,44.38333,2.81667,"(44.38333, 2.81667)"
Fayetteville,2360.0,Fell,1934.0,36.05,-94.16667,"(36.05, -94.16667)"
Feid Chair,380.0,Fell,1875.0,36.88333,8.45,"(36.88333, 8.45)"
Felix,3200.0,Fell,1900.0,32.53333,-87.16667,"(32.53333, -87.16667)"
Fenghsien-Ku,82.0,Fell,1924.0,34.6,116.75,"(34.6, 116.75)"
Ferguson,220.0,Fell,1889.0,36.1,-81.41667,"(36.1, -81.41667)"
Fisher,17600.0,Fell,1894.0,47.81667,-96.85,"(47.81667, -96.85)"
Florence,3640.0,Fell,1922.0,30.83333,-97.76667,"(30.83333, -97.76667)"
Forest City,152000.0,Fell,1890.0,43.25,-93.66667,"(43.25, -93.66667)"
Forest Vale,26000.0,Fell,1942.0,-33.35,146.85833,"(-33.35, 146.85833)"
Forksville,6067.0,Fell,1924.0,36.78333,-78.08333,"(36.78333, -78.08333)"
Forsbach,240.0,Fell,1900.0,50.95,7.31667,"(50.95, 7.31667)"
Forsyth,16300.0,Fell,1829.0,33.01667,-83.96667,"(33.01667, -83.96667)"
Frankfort (stone),650.0,Fell,1868.0,34.48333,-87.83333,"(34.48333, -87.83333)"
Fuhe,23000.0,Fell,1945.0,31.47556,113.56694,"(31.47556, 113.56694)"
